JIRA_ISSUE_ID,JIRA_ISSUE_KEY
99605,CCOMP-32
100813,PIANALYTIC-35
141923,PSV-725
141929,PSV-731
141922,PSV-724
79676,HRITHELP-672
76384,FED-10
17266,BUDES-80
129841,DATA-3202
32299,WAF-141
43999,EMPRES-35
77931,FED-46
24753,BUDES-224
26157,WAF-53
28527,ANLYT-96
146843,PIA-538
72588,HRITHELP-549
68119,BUW-466
64941,BUW-425
61666,HRITHELP-391
22293,DM-550
67890,MOPS-236
72099,GAB-40
53654,BUW-356
50534,BUW-305
95979,CCOMP-18
65547,IS-3
146596,DATA-3989
125348,BUAPP-60856
91142,CEL2-264
52424,HRITHELP-220
75762,IMP-2820
73373,BUAPP-34809
24690,BUAPP-9059
76287,BUAPP-36539
113773,PIA-135
41166,BUDES-401
32404,BUDES-369
87910,BUAPP-42965
87914,BUAPP-42969
62760,IMP-2268
62745,IMP-2462
19286,DAARCH-20
57560,HRITHELP-325
44356,COPSAG2021-3
14193,ST-10
117166,CSO-87
123942,BUAPP-60216
134170,BUAPP-64489
74632,HRITHELP-585
92999,BUAPP-45160
109642,CNOPS-12
109640,CNOPS-10
109670,CD-31
141449,PSV-459
57279,HRITHELP-315
57240,HRITHELP-310
57269,HRITHELP-313
111352,CD-77
49582,CDEV-76
141327,PSV-337
62735,IMP-2573
62731,IMP-2607
62703,IMP-2682
83738,D2CFR-3
27074,WAF-69
59139,BUW-406
14334,ANARC-83
80515,EAI-2
52027,CDEV-135
56807,HRITHELP-302
36332,BUW-191
36042,BUW-187
109651,CN-9
19996,DAARCH-3
79319,IP-211
74939,CEL2-81
74993,CEL2-90
27341,NOP-9
32415,WAF-144
49931,EM-37
45313,EMPRES-49
100240,LOC-4
79600,IP-225
41230,BUW-217
84283,D2CFR-6
45554,EMPRES-61
28542,ANLYT-111
14994,ST-30
85989,CEL2-209
87784,GOVSQUAD-192
109608,CNOPS-9
52206,HRITHELP-216
119156,CCPFB-152
77814,FED-24
81058,ABU-15
80353,SK-74
118219,BUAPP-57847
95175,TECH-38
45804,EMPRES-69
90151,DATA-1672
58607,SK-8
19421,DM-133
141854,PSV-656
141880,PSV-682
141883,PSV-685
141905,PSV-707
141833,PSV-635
45110,COPSAG2021-54
32739,WAF-150
57417,RVOPS-180
46342,ENG-20
88366,BUAPP-43193
88369,BUAPP-43196
16389,ANARC-25
75680,CEL2-117
89132,CEL2-258
74671,CEL2-25
99505,BUAPP-48893
76049,CEL2-129
88407,BUAPP-43232
76336,CEL2-146
87667,CEL2-250
74454,HRITHELP-581
110803,CD-65
109617,CD-11
15729,BUDES-67
79206,BUAPP-38100
25085,
23092,BUDES-175
27879,BUDES-294
105425,BUAPP-51996
71709,GAB-39
109369,BUI-13
69425,BUAPP-32603
23833,WAF-25
28033,BUDES-304
10818,BUDES-21
102477,BUAPP-50441
101732,BUAPP-49934
17106,ANARC-135
123989,CSO-106
141348,PSV-358
141421,PSV-431
27364,NOP-26
56106,BUW-370
41601,EMPRES-9
59727,HRITHELP-354
52226,ENG-27
81481,ABU-59
81491,ABU-69
126878,BUAPP-61539
96905,IP-273
30093,WAF-116
27343,NOP-7
141836,PSV-638
88405,BUAPP-43230
20548,DM-329
96336,IMP-2851
23971,BUDES-177
86396,ENG-48
102170,BUAPP-50264
17112,ANARC-140
51935,CPQ-38
16895,ANARC-108
19464,DM-153
50942,RVOPS-71
46610,HRITHELP-85
141603,PSV-551
141446,PSV-456
141491,PSV-501
141492,PSV-502
141445,PSV-455
141340,PSV-350
19453,DM-142
51932,CPQ-35
141393,PSV-403
141329,PSV-339
93990,BUAPP-45727
27342,NOP-8
16498,ANARC-72
105349,BUAPP-51967
100498,MOPS-1443
52382,BUW-350
62786,IMP-2022
93216,CCPFB-110
26827,ANLYT-52
60970,HRITHELP-374
63205,HRITHELP-421
28541,ANLYT-110
14611,BUDES-45
27619,BUDES-273
29275,BUDES-325
30182,BUDES-341
78435,HRITHELP-652
49184,HRITHELP-148
32391,BUDES-363
51543,HRITHELP-200
47890,HRITHELP-115
95468,CCPFB-116
17742,BUDES-88
61925,HRITHELP-398
57335,HRITHELP-321
27058,WAF-60
78119,SSRCF-13
78203,IP-197
73817,BUW-472
85154,MOPS-1005
22308,DM-565
79046,IP-203
75188,IP-90
75158,BUAPP-35841
69312,BUAPP-32542
128945,BUAPP-62283
19622,DM-171
67423,EHC-66
132098,DSO-1732
78191,IP-194
45606,BUAPP-21003
78616,IMP-2828
76544,IP-156
80763,BUAPP-38957
81549,ABU-89
77034,IP-167
72518,CEL2-40
72627,CEL2-65
74937,CEL2-79
73323,CEL2-1
77279,SK-45
78666,SK-59
40975,NOP-102
131776,PIA-381
109826,CD-41
20505,DM-289
23355,DMCL-42
101982,BUAPP-50118
122701,BUAPP-59755
121172,TEMPLATE-26
130774,BUAPP-63074
121018,TPM-46
78338,HRITHELP-650
79963,IP-229
59881,GAB-13
84140,BUAPP-41012
75450,HRITHELP-595
108901,BUAPP-53733
20586,DAARCH-16
82836,BUAPP-40075
111386,BUAPP-54945
109260,BUAPP-53923
59931,GAB-29
46544,HRITHELP-81
45653,COPSAG2021-75
27502,ANLYT-62
18186,PT-17
64839,HRITHELP-454
46359,HRITHELP-79
93137,MOPS-1200
27079,WAF-74
67229,CDEV-564
69689,IMP-2804
77615,HRITHELP-629
118055,PIA-158
20443,DM-267
19444,DAARCH-61
111360,CD-81
21578,
21139,
20192,
69233,MOPS-325
110051,CD-54
110806,CD-68
96957,RDATA-2
76115,BUW-478
71047,HRITHELP-518
62734,IMP-2574
44514,COPSAG2021-15
21017,DM-396
18150,PT-13
74926,CEL2-77
121145,HRIX-96
83103,HRITHELP-738
63997,HRITHELP-435
63998,HRITHELP-436
37782,NOP-92
125023,BUAPP-60735
122481,CSO-99
21018,DM-397
79074,MOPS-711
59870,GAB-5
47197,HRITHELP-93
50862,RVOPS-69
81448,ABU-28
81453,ABU-33
46960,MARB-1
66759,CCPFB-67
50103,RVOPS-36
49973,RVOPS-17
56981,CDEV-293
54395,HRITHELP-252
19473,DM-162
57835,RVOPS-190
20560,DM-340
58528,RVOPS-203
22048,DMCL-24
28534,ANLYT-103
65438,BUAPP-30329
82955,TECH-4
62727,IMP-2621
15189,ANARC-81
129982,BUAPP-62688
25890,COPS-181
91857,BUAPP-44588
86001,IP-240
58564,HRITHELP-339
109937,CD-51
86521,IMP-2842
68368,HRITHELP-488
32175,ANLYT-135
135353,CSO-122
102082,BUAPP-50207
89591,GOVSQUAD-258
114801,FEDGRC-8
27609,BUDES-267
101822,BUAPP-50002
114969,FEDGRC-172
114860,FEDGRC-63
114906,FEDGRC-109
114854,FEDGRC-57
114847,FEDGRC-50
114858,FEDGRC-61
114971,FEDGRC-174
114920,FEDGRC-123
114841,FEDGRC-44
51858,CPQ-7
51877,CPQ-26
51860,CPQ-9
51864,CPQ-13
51861,CPQ-10
114828,FEDGRC-31
56880,RVOPS-170
104087,BUAPP-51376
91850,BUAPP-44581
63307,HRITHELP-425
11491,BUDES-23
62430,HRITHELP-407
58911,BUW-388
88420,BUAPP-43245
70300,HRITHELP-509
24751,BUDES-222
132097,DSO-1731
63700,MOPS-29
27631,ANLYT-68
96742,BUAPP-47142
75114,IP-74
138082,BUAPP-66052
64041,CCPFB-51
118959,TPM2-4
98814,BUAPP-48518
86963,CEL2-224
141420,PSV-430
141343,PSV-353
141620,PSV-568
141353,PSV-363
141349,PSV-359
141322,PSV-332
23911,WAF-40
70518,INFOSEC-4837
105839,BUAPP-52269
17107,ANARC-136
70682,BUAPP-33354
20976,DM-387
141271,PSV-281
47730,HRITHELP-105
100468,BUAPP-49437
128148,PIA-236
19829,DMCL-5
74735,IP-17
77633,BUW-491
76382,FED-8
62737,IMP-2571
70663,BUAPP-33341
69252,MOPS-328
26589,BUDES-254
71599,HRITHELP-531
49957,RVOPS-5
50132,RVOPS-40
59997,HRITHELP-357
53979,PS-12
91192,CEL2-279
91191,CEL2-278
136922,BUAPP-65497
22286,DM-543
140065,BUAPP-66920
61028,BUW-419
28380,ANLYT-84
61492,BUAPP-28438
18321,ANARC-168
24286,BUDES-191
15078,ANARC-78
28214,NOP-65
21200,
19527,
115682,BUAPP-56685
122944,CSO-102
133303,CSO-120
50612,RVOPS-56
97302,CCSIR-33
109979,BUAPP-54226
98819,BUAPP-48523
114814,FEDGRC-21
62843,IMP-938
78286,BUW-496
54157,RVOPS-117
111694,CD-86
49817,SFDC-12
80985,GOVSQUAD-32
95989,CCSIR-26
24759,DMCL-61
25287,DM-603
25293,DM-609
19416,DM-128
63725,IMP-2778
41836,BUW-238
55445,CCPFB-15
98372,BUAPP-48227
19469,DM-158
24427,WAF-49
105670,BUAPP-52119
54618,RVOPS-125
74617,IMP-2818
143020,DATA-3700
27064,WAF-64
16497,ANARC-31
55211,HRITHELP-271
79417,MOPS-722
57691,IP-1
50291,HRITHELP-173
21506,
21572,
79493,HRITHELP-667
56100,BUW-364
56099,BUW-363
32342,NOP-74
59577,HRITHELP-350
14787,ANARC-55
48749,BUAPP-22486
19836,DM-188
78194,IP-195
80736,HRITHELP-697
24757,BUDES-226
24512,BUDES-205
131484,BUAPP-63353
117248,BUAPP-57475
26170,BUDES-240
90246,GOVSQUAD-328
87974,GOVSQUAD-217
55428,SSRCF-2
55434,SSRCF-4
79485,IP-220
24415,DMCL-58
65838,BUAPP-30569
48549,HRITHELP-132
48144,HRITHELP-120
38264,NOP-97
48275,HRITHELP-124
90290,IP-260
123556,BUAPP-60027
49103,HRITHELP-146
63414,CDEV-463
82564,HIT-12
141405,PSV-415
141565,PSV-514
141450,PSV-460
141390,PSV-400
141564,PSV-513
141644,PSV-592
141354,PSV-364
141580,PSV-528
141623,PSV-571
141674,PSV-620
141207,PSV-234
141640,PSV-588
141560,PSV-509
141642,PSV-590
141638,PSV-586
121087,HRIX-38
130168,HRIX-108
95547,GOVSQUAD-789
36020,BUW-174
139557,PIA-487
65836,BUAPP-30567
11024,BUDES-20
90292,IP-261
141576,PSV-525
141600,PSV-548
21935,BUDES-168
21842,DMCL-20
129395,BUAPP-62466
104231,ENG-57
52470,ENG-28
20536,DM-317
76805,IP-157
21883,DAARCH-90
82762,HRITHELP-730
128145,PIA-234
141970,PSV-757
141867,PSV-669
141925,PSV-727
111361,CD-82
50189,RVOPS-42
77769,IP-188
28602,ANLYT-125
64095,HRITHELP-439
77903,BUAPP-37468
54512,DM-644
62681,IMP-2757
62837,IMP-1082
22297,DM-554
72919,HRITHELP-556
51949,RVOPS-90
88422,BUAPP-43247
81269,HRITHELP-706
45934,COPSAG2021-81
104021,DATAOPS-860
104155,DATAOPS-872
104159,DATAOPS-876
101106,BUAPP-49675
62800,IMP-1826
62728,IMP-2620
62850,IMP-591
57260,HRITHELP-312
134166,DSO-1860
67253,BUW-450
66969,BUW-430
56624,RVOPS-158
27355,NOP-17
123941,BUAPP-60215
17285,BUDES-83
26780,COPS-272
112418,CD-114
19916,DM-212
23455,DAARCH-102
19937,DAARCH-30
49581,CDEV-75
69676,BUAPP-32785
69686,BUAPP-32793
16396,ANARC-44
44672,COPSAG2021-23
108941,DATA-2263
19841,DM-193
108720,DATA-2236
46777,BUW-276
113485,EOC-18
72060,HRITHELP-538
14356,ANARC-59
21424,BUDES-164
72534,CEL2-35
72561,CEL2-54
77267,SK-35
77358,CCPFB-89
20555,DM-335
45501,EMPRES-58
100369,BUAPP-49385
100020,BUAPP-49197
100243,LOC-5
96404,MOPS-1317
96406,MOPS-1319
69549,IMP-2803
77023,IP-164
87939,BUW-530
70159,SSRCF-10
17283,BUDES-81
73271,HRITHELP-565
85619,BUAPP-41547
55606,HRITHELP-274
55661,HRITHELP-276
101839,BUAPP-50012
82443,SSRCF-14
45777,COPSAG2021-78
84966,BUAPP-41199
96550,CCSIR-28
141839,PSV-641
141832,PSV-634
41239,BUW-223
91691,CCPFB-107
138490,PIA-471
22305,DM-562
52744,RVOPS-98
88338,BUAPP-43167
81959,CEL2-179
94130,CEL2-289
98625,BUAPP-48376
72575,CEL2-70
92160,SSRCF-17
109866,CD-46
26288,BUDES-244
100410,BUAPP-49401
123069,BUAPP-59855
80485,HRITHELP-695
101674,CCSIR-56
68902,MOPS-309
36777,BUW-197
141453,PSV-463
141309,PSV-319
141471,PSV-481
42568,EMPRES-21
28948,ANLYT-129
28210,NOP-61
51151,HRITHELP-197
27051,WAF-58
95060,IP-269
76275,HRITHELP-605
23826,WAF-18
30084,WAF-110
26385,ANLYT-44
38261,POPS-27
95758,MOPS-1281
88367,BUAPP-43194
68086,BUAPP-31830
16518,ANARC-36
31149,WAF-133
16871,ANARC-98
22477,DM-581
86468,CCPFB-103
101654,BUAPP-49896
81065,MOPS-813
41791,NOP-103
86837,BUW-519
102702,CCPFB-125
17432,ANARC-150
76537,IP-152
19445,DAARCH-62
81097,ABU-18
141338,PSV-348
22313,DM-570
113522,CD-117
75179,IP-83
65984,RO-10
141295,PSV-305
141341,PSV-351
19629,DM-178
107089,BUAPP-52929
92415,BUAPP-44884
76209,CCPFB-88
111817,BUAPP-55100
79320,IP-212
51195,BUW-307
57885,CCPFB-33
60713,HRITHELP-370
27622,BUDES-276
15686,BUDES-54
45105,COPSAG2021-53
58910,HRITHELP-343
12805,ANARC-76
49972,RVOPS-16
30456,BUDES-347
51112,HRITHELP-195
64194,CCPFB-54
120869,BUAPP-58980
48750,BUAPP-22487
62854,IMP-213
42531,EMPRES-18
96240,MOPS-1300
79308,BUW-503
75447,BUAPP-35994
48481,HRITHELP-131
86961,CEL2-222
45113,COPSAG2021-55
22327,DMCL-29
99277,BUAPP-48715
124977,BULX-1
85172,MOPS-1017
85166,MOPS-1011
85168,MOPS-1013
19417,DM-129
20446,DM-270
21650,DM-529
75181,IP-85
20452,DM-276
66229,CCPFB-64
132112,DSO-1744
103908,BUAPP-51286
107769,MOPS-1596
85141,MOPS-998
76628,BUAPP-36705
79884,HRITHELP-679
72526,CEL2-50
75013,CEL2-99
77418,SK-48
20738,PT-21
72679,IMP-2814
98112,LDL-22
27322,BUDES-266
76387,FED-13
83495,BUAPP-40475
85147,MOPS-1002
74679,BUAPP-35585
123238,BUAPP-59887
115488,GOVGRC-118
114926,FEDGRC-129
66061,BUAPP-30684
115138,EOC-29
61539,HRITHELP-384
51867,CPQ-16
23903,WAF-33
59889,GAB-16
17244,BUDES-78
24311,BUDES-211
16348,ANARC-16
