fct_name,column_name,id_to_exclude,comment
fct_chained_views_dependencies,child,content_eligible_resources,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dim_item_responses,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__selected_focus_area,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__viewed_insights,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_reporting_group_lead__onboarding_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,member_consumer_subscriptions_calendar,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_reporting_group_lead__current_reflection_point_status,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,star_coach_capacity_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__invited_group_coaching_series,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_session_topics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__activated_track,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_sfdc__leads_contacts_union,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_timeslots,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__group_coaching_curriculums,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_reporting_group__wp360_assigned_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dim_reporting_group_organizations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__users_roles,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_email_events_metadata,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt__whole_person_subdimensions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__on_demand_configurations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__reporting_groups,excluding models created prior to implementing dbt_project_evaluator
=fct_chained_views_dependencies,child,dbt_users,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__coach_profiles,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_whole_person_item_response,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__registered_group_coaching,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__completed_appointment,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_whole_person_item_response,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_recommendations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__scheduled_appointment,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_assessment_items,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_billable_events,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,star_coach_engagement_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__track_configurations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_profiles_daily_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_app__subdimension_benchmark_scores_reference_population_1,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_comp__sessions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dim_track_assignments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_users_global_roles,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_sfdc__parent_account_details,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__user_engaged,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__product_subscription_assignments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__construct_reference_populations,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_date_assignments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__group_coaching_cohorts,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__sent_care_guide_message,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__group_coaching_sessions,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,stg_app__user_attribute_fields,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_opportunity_products,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,content_topic_resource_mapping,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_complete_wpm_assessments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_coach_payment,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_coach_key,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_events__completed_coaching_session,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_comp__impact_metrics_global,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,int_sfdc__accounts_snapshot_formula_fields,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dei_coach_recommendation_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_member_reporting_group_lead__upcoming_session_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,content_eligible_activities,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dbt_track_enrollments,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,fact_member_motivation,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,coach_profiles_features,excluding models created prior to implementing dbt_project_evaluator
fct_chained_views_dependencies,child,dim_reporting_groups,excluding models created prior to implementing dbt_project_evaluator
